UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086785492636,Labouré-Roi, Pouilly-Fuissé Vallon d'Or 2001,Chardonnay,Burgundy,2001,10.99,,83,http://www.laboure-roi.com/uk/index.html,"A big white that starts out with marzipan and crème brûlée accents, then picks up toast and butterscotch notes. It turns coarse on the finish. Drink now. 665 cases made. (BS)",750ml
086785520018,Citra,Montepluciano D'Abruzzo,Montepulciano,Abbruzi,2000,,,,www.citra.it,,750ml
086785520032,Citra Vini,Montepulciano d'Abruzzo ,Montepulciano,Italy,2002,7,,,www.citra.it,13.0% alc;,1.5l
086785520711,Citra,Merlot,Merlot,Tipica,1999,,,,www.palmbayimports.com,,750ml
086785520735,,Citra Merlot,Merlot,,,,,,,,
086785520810,,Citra Chardonnay,Chardonnay,,,,,,,,
086785570303,Gosset,Brut,Champagne,Champagne,0000,,,,,,750ml
086785581514,Terre dei Sicani P ,Pinot Grigio/Grecanico,Pinot Grigio/grecanico,Sicily,2008,15,,89,,Terre dei Sicani P Grigio/Grecanico,750ml
086785620015,Chateau de Candale,,Bordeaux,Haut-Medoc,2000,,,,,,750ml
086785620053,Frank Phelan,Saint-Estephe,Bordeaux,St.-Estephe,1998,,,,,,750ml
086785620114,Saint-Emilion,,Bordeaux,Bordeaux,2000,21.99,,,,,750ml
086785630113,Brown Brothers,Brown Brothers Chardonnay Victoria,Chardonnay,Australia,2003,,,,,,750ml
086785660073,Cosecha,Faustino Rioja,Red Wine,Rioja,1998,,,,,,750ml
086785660424,Faustinoe de Crianza,Rioja,Rioja,Rioja,1997,,,,,,750ml
086785660486,Condesa de Leganza,Crianza,Tempranillo,La Mancha,1998,,,,,,750ml
086785681146,Terrale,Sicilia,White Blend,Sicily,1999,,,,,Dinner 12/16/02,750ml
086785681382,Casa Vinicola Calatrasi,Terrale Primitivo,Primitivo,Sancipirello,1999,,,,,,750ml
086785681405,Terrale,Primitivo,Primitivo,,1998,,,,www.palmbayimports.com,,1.5l
086785690025,Faustino,Faustino V,White Wine,Rioja,2005,,,,,,750ml
086785710174,Navarro Correas,Malbec,Malbec,Argentina,1999,,,,,,750ml
